192,Cancel Submitted,True,2020-01-27 02:15:05.204014,1/1/20,1/1/20,"Order(orderId=192, permId=1893601597, action='SELL', totalQuantity=2, orderType='STP', lmtPrice=0.0, auxPrice=3253.0, tif='GTC', ocaGroup='1893601596', ocaType=3, parentId=191, trailStopPrice=3253.0, faProfile='cci_day', openClose='C', eTradeOnly=False, firmQuoteOnly=False, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, clearingIntent='IB', orderComboLegs=[], adjustedOrderType='None', conditions=[], softDollarTier=SoftDollarTier(), dontUseAutoPriceForHedge=True)"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
198,Cancel Submitted,False,2020-01-27 02:30:05.233561,1/1/20,1/1/20,"Order(orderId=198, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
11,Cancel Submitted,False,2020-01-27 09:19:25.314247,1/1/20,1/1/20,"Order(orderId=11, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
32,Cancel Submitted,True,2020-01-27 09:45:04.255377,1/1/20,1/1/20,"Order(orderId=32, action='Buy', totalQuantity=2, orderType='MKT', transmit=False, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
84,Cancel Submitted,True,2020-01-27 11:45:04.839169,1/1/20,1/1/20,"Order(orderId=84, action='Buy', totalQuantity=2, orderType='MKT', transmit=False, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
85,Cancel Submitted,True,2020-01-27 11:45:05.853480,1/1/20,1/1/20,"Order(orderId=85, permId=1638997821, action='SELL', totalQuantity=2, orderType='STP', lmtPrice=0.0, auxPrice=3244.0, tif='GTC', ocaGroup='1638997820', ocaType=3, parentId=84, trailStopPrice=3244.0, faProfile='cci_day', openClose='C', eTradeOnly=False, firmQuoteOnly=False, volatilityType=0, deltaNeutralOrderType='None', referencePriceType=0, clearingIntent='IB', orderComboLegs=[], adjustedOrderType='None', conditions=[], softDollarTier=SoftDollarTier(), dontUseAutoPriceForHedge=True)"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
131,Cancel Submitted,False,2020-01-27 14:00:06.490919,1/1/20,1/1/20,"Order(orderId=131, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
131,Cancel Submitted,False,2020-01-27 14:00:06.494309,1/1/20,1/1/20,"Order(orderId=131, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
132,Cancel Submitted,False,2020-01-27 14:00:07.526172,1/1/20,1/1/20,"Order(orderId=132, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
132,Cancel Submitted,False,2020-01-27 14:00:07.534304,1/1/20,1/1/20,"Order(orderId=132, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
26,Cancel Submitted,True,2020-01-27 18:30:04.427369,1/1/20,1/1/20,"Order(orderId=26, action='Buy', totalQuantity=2, orderType='MKT', transmit=False, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
