
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   8480 Console                    1     24,076 K
StartMenuExperienceHost.e     9632 Console                    1     55,636 K
RuntimeBroker.exe             9752 Console                    1      8,200 K
SearchApp.exe                 9952 Console                    1     58,532 K
RuntimeBroker.exe            10140 Console                    1     34,152 K
SettingSyncHost.exe           3544 Console                    1      5,216 K
ctfmon.exe                   10256 Console                    1     11,436 K
TabTip.exe                   10272 Console                    1      7,460 K
dllhost.exe                  10484 Services                   0      5,552 K
TextInputHost.exe            10504 Console                    1     13,084 K
svchost.exe                  10620 Services                   0      7,008 K
RuntimeBroker.exe            10880 Console                    1     19,552 K
NisSrv.exe                   11208 Services                   0      3,856 K
GoogleCrashHandler.exe        3908 Services                   0      1,020 K
GoogleCrashHandler64.exe     10864 Services                   0        420 K
dllhost.exe                   4184 Console                    1      7,140 K
SecurityHealthSystray.exe    11356 Console                    1      4,228 K
SecurityHealthService.exe    11388 Services                   0     10,912 K
RtkNGUI64.exe                11500 Console                    1     10,540 K
svchost.exe                  11588 Services                   0      4,436 K
LogiOptions.exe              11664 Console                    1      2,556 K
LogiOptionsMgr.exe           11792 Console                    1     21,240 K
LogiOverlay.exe              11816 Console                    1     27,116 K
OneDrive.exe                 12116 Console                    1     36,472 K
svchost.exe                  14140 Console                    1      7,212 K
ShellExperienceHost.exe      10000 Console                    1     34,012 K
iCUE.exe                      9916 Console                    1     28,928 K
RuntimeBroker.exe            13644 Console                    1     19,152 K
RAVBg64.exe                  16284 Console                    1      5,788 K
unsecapp.exe                 15456 Console                    1      2,836 K
ApplicationFrameHost.exe     15700 Console                    1     10,232 K
SystemSettings.exe           12404 Console                    1        820 K
svchost.exe                  12524 Services                   0      2,832 K
svchost.exe                  12740 Services                   0      9,672 K
UserOOBEBroker.exe           12872 Console                    1      4,540 K
svchost.exe                  11496 Services                   0     15,636 K
svchost.exe                  13244 Services                   0      6,684 K
LMS.exe                      16024 Services                   0      2,016 K
SgrmBroker.exe                1552 Services                   0      5,952 K
svchost.exe                   3220 Services                   0      5,736 K
isa.exe                      15984 Services                   0      9,720 K
thinkorswim.exe               5884 Console                    1  1,389,904 K
chromium.exe                 14332 Console                    1     38,356 K
chromium.exe                 14712 Console                    1      2,260 K
chromium.exe                 15028 Console                    1      1,708 K
chromium.exe                 13980 Console                    1     13,960 K
chromium.exe                  9368 Console                    1      6,308 K
chromium.exe                 11600 Console                    1      8,264 K
chromium.exe                 14764 Console                    1      8,284 K
chromium.exe                  6216 Console                    1      8,244 K
chromium.exe                   568 Console                    1      8,308 K
chromium.exe                 15288 Console                    1      3,888 K
EXCEL.EXE                     4564 Console                    1    121,256 K
svchost.exe                  16840 Services                   0      1,456 K
OUTLOOK.EXE                  16768 Console                    1    310,372 K
Code.exe                      4008 Console                    1     49,848 K
Code.exe                      2380 Console                    1      4,668 K
Code.exe                      6744 Console                    1    183,308 K
Code.exe                      8944 Console                    1     12,700 K
Code.exe                     15796 Console                    1     44,584 K
Code.exe                     12936 Console                    1     23,516 K
Microsoft.Mashup.Containe    17928 Console                    1      8,176 K
Microsoft.Mashup.Containe     7816 Console                    1      9,396 K
Microsoft.Mashup.Containe    13664 Console                    1      6,508 K
LockApp.exe                  15064 Console                    1      4,808 K
RuntimeBroker.exe             8244 Console                    1     12,844 K
Fiddler.exe                  20488 Console                    1    331,276 K
chrome.exe                    9488 Console                    1    268,688 K
chrome.exe                    9688 Console                    1      2,500 K
chrome.exe                    2216 Console                    1    275,364 K
chrome.exe                   17064 Console                    1     36,872 K
chrome.exe                   16256 Console                    1      8,012 K
chrome.exe                   18856 Console                    1      9,616 K
KeePass.exe                  16712 Console                    1     24,012 K
svchost.exe                   1728 Console                    1      1,116 K
svchost.exe                  12444 Console                    1      1,060 K
taskhostw.exe                14008 Console                    1      5,268 K
chrome.exe                   18176 Console                    1     62,640 K
tws.exe                       8408 Console                    1      6,064 K
chrome.exe                   17032 Console                    1     54,660 K
chrome.exe                   12496 Console                    1     26,636 K
chrome.exe                   15520 Console                    1     95,884 K
chrome.exe                   15916 Console                    1     91,916 K
chrome.exe                    9512 Console                    1     30,244 K
chrome.exe                   23316 Console                    1     46,016 K
chrome.exe                   20444 Console                    1     36,304 K
chrome.exe                   10312 Console                    1     28,172 K
chrome.exe                    7888 Console                    1     12,068 K
chrome.exe                   20244 Console                    1     18,288 K
chrome.exe                    5188 Console                    1      4,908 K
chrome.exe                    8580 Console                    1     66,176 K
Corsair.Service.DisplayAd     3408 Console                    1      8,784 K
conhost.exe                  26640 Console                    1      3,072 K
svchost.exe                  27140 Services                   0        660 K
chrome.exe                   26252 Console                    1     95,180 K
svchost.exe                  20572 Services                   0      1,992 K
Microsoft.Photos.exe         22036 Console                    1     23,688 K
Video.UI.exe                 25680 Console                    1        836 K
RuntimeBroker.exe             4920 Console                    1      4,628 K
Code.exe                     22788 Console                    1    156,788 K
Code.exe                     27472 Console                    1     75,200 K
CodeHelper.exe                9828 Console                    1      4,896 K
conhost.exe                   8732 Console                    1      1,840 K
conhost.exe                   5144 Console                    1      2,296 K
bash.exe                     16208 Console                    1      1,076 K
bash.exe                     10108 Console                    1      2,768 K
Code.exe                     19320 Console                    1      5,988 K
Code.exe                     25148 Console                    1     23,548 K
Code.exe                      7608 Console                    1      7,032 K
conhost.exe                  24864 Console                    1      2,856 K
bash.exe                     11752 Console                    1      1,080 K
bash.exe                     11276 Console                    1      3,928 K
RuntimeBroker.exe            17372 Console                    1     25,360 K
YourPhone.exe                21492 Console                    1        636 K
RuntimeBroker.exe            25396 Console                    1      6,452 K
Code.exe                      7288 Console                    1    100,564 K
Code.exe                     28064 Console                    1     29,324 K
CodeHelper.exe               20560 Console                    1      2,020 K
conhost.exe                  28164 Console                    1      1,664 K
conhost.exe                  14504 Console                    1      2,356 K
bash.exe                     22476 Console                    1      1,060 K
bash.exe                     23964 Console                    1      1,208 K
Code.exe                     28052 Console                    1      6,940 K
Code.exe                     23640 Console                    1      8,984 K
Code.exe                     29160 Console                    1      6,056 K
conhost.exe                  29612 Console                    1      2,168 K
bash.exe                     24860 Console                    1      1,068 K
bash.exe                     21020 Console                    1      1,224 K
splwow64.exe                 24292 Console                    1      1,716 K
notepad++.exe                21288 Console                    1     29,560 K
svchost.exe                  25772 Console                    1      1,504 K
SearchApp.exe                21412 Console                    1     32,004 K
smartscreen.exe              23528 Console                    1     19,052 K
chrome.exe                   23924 Console                    1     35,964 K
chrome.exe                   16160 Console                    1     30,832 K
svchost.exe                  21312 Services                   0      7,676 K
tws.exe                        648 Console                    1    732,292 K
audiodg.exe                  26012 Services                   0     21,188 K
Taskmgr.exe                  28552 Console                    1     62,036 K
PMA.exe                       1528 Console                    1     14,956 K
cmd.exe                      30496 Console                    1     14,164 K
conhost.exe                   1280 Console                    1     16,140 K
chrome.exe                   19652 Console                    1     86,116 K
chrome.exe                   19080 Console                    1     77,752 K
chrome.exe                   13156 Console                    1     97,120 K
bash.exe                     19284 Console                    1      5,624 K
python.exe                   19300 Console                    1     63,616 K
svchost.exe                  14772 Services                   0     11,868 K
svchost.exe                  22292 Services                   0     16,196 K
SearchProtocolHost.exe       30468 Services                   0     13,484 K
SearchFilterHost.exe         28332 Services                   0      8,616 K
WUDFHost.exe                 29744 Services                   0      9,132 K
svchost.exe                  26092 Services                   0      7,380 K
chrome.exe                   21812 Console                    1     39,680 K
chrome.exe                   27500 Console                    1     74,772 K
chrome.exe                    9716 Console                    1    101,172 K
chrome.exe                   26944 Console                    1     25,104 K
tasklist.exe                 24372 Console                    1      9,144 K
