"'2019-08-26 09:30:00.343391,'short','53.74466347403326',56.377990705672744','62.87000423304369','57.57774287288928','7.069249132337817','0.6021208064810977','42.27056145497417','-8.709900108958562',-35.558334155833926','14.614530684367178','2.5541381679545765','86.37772582426894','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 09:45:00.345952,'short','31.438462239227118',51.03505816872686','53.74466347403326','56.377990705672744','7.225017051456545','0.6144467342786035','15.873196110855178','-8.709900108958562',-35.558334155833926','14.614530684367178','2.5541381679545765','86.37772582426894','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 10:00:00.335567,'short','3.945178379508828',43.91205502368767','31.438462239227118','51.03505816872686','7.226801547781077','0.5959200507580577','24.005483835334847','-16.41135038173166',-25.34464136061675','14.731349921198094','2.5679226399190593','73.39216767770709','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 10:15:00.402699,'short','-34.60972825848416',34.0109529879306','3.411998592206427','43.84540755027487','7.603458580082429','0.675288731422665','-11.622502969607616','-16.41135038173166',-25.34464136061675','14.731349921198094','2.5679226399190593','73.39216767770709','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 10:30:00.372411,'short','-67.4461376773501',20.6863756060171','-34.60972825848416','34.0109529879306','7.542497252933685','0.7305720203986669','3.6936578411686565','-16.41135038173166',-25.34464136061675','14.731349921198094','2.5679226399190593','73.39216767770709','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 10:45:00.546294,'short','-73.59307359307685',5.3200340221299545','-67.4461376773501','20.6863756060171','7.52160459200985','0.6484644656617978','6.541893014568226','-16.41135038173166',-25.34464136061675','14.731349921198094','2.5679226399190593','73.39216767770709','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 11:00:00.399176,'long','-58.400384781568675',-10.323024471496161','-73.59307359307685','5.3200340221299545','7.520061406866289','0.6723206311217095','21.103126734456925','-26.510844780775624',-20.106518779542625','14.679110641112516','2.589165765471644','67.40697098162946','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 11:15:00.369739,'short','-1.2875707565992844',-18.342721345201532','-58.400384781568675','-10.323024471496161','7.857914163518697','0.6695396424838034','61.51582558820573','-26.510844780775624',-20.106518779542625','14.679110641112516','2.589165765471644','67.40697098162946','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 11:30:00.705632,'long','-10.46831955922279',-26.36934422435854','-1.2875707565992844','-18.342721345201532','7.7966345804102195','0.669206583920643','48.76320115311467','-26.510844780775624',-20.106518779542625','14.679110641112516','2.589165765471644','67.40697098162946','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
"'2019-08-26 11:45:00.465922,'short','-37.4171307345554',-34.976293346081356','-10.46831955922279','-26.36934422435854','7.632589253238061','0.6652591106559855','36.050981842406685','-26.510844780775624',-20.106518779542625','14.679110641112516','2.589165765471644','67.40697098162946','-92.61481407543101',-92.75568697322527','52.651578311279216','7.110264365419821','22.134496333540476'"
